source,target
The first diary,The / My first diary entry
Return to home .,Return to home . Going back home
Birds never leave me sleeping .,Birds never let me sleep .
The last day this year,The last day of this year
All things are messing me up ! !,Everything is messed up ! !
First impression,First Impression
Im so sad for today .,I 'm so sad today .
I want to go abroad in summeeeeer bacation ! !,I want to go abroad in summeeeeer vacation ! !
Recently News . = by Snow . . . =,Recent News . = Snow . . . =
I am boared . . .,I 'm bored . . .
Room,Room
The restaurant I like most,The Restaurant I Like the Most
I can not stop !,I can not stop !
I wouldnt ' hesitate if I were you .,I would n't hesitate if I were you .
hi there,Hi there !
I want my English to be corrected . please help me !,"I want my English to be corrected , please help me !"
Mobile phone,Mobile Phone
Preparing for Presentation,Preparing for my Presentation
Self - introducton,Self - introduction
My friend .,My Friend .
It 's good things that you learning new language by profetional teachers,It 's a good thing to learn a new language from a professional teacher .
everything is possible,everything is possibleEverything is possible .
I 've got a brand - new glasses !,I 've got brand - new glasses !
help me,Help me .
again write,Writing again
English instractor murder case,English instructor murder case
Public bath,Public Bath
My hobby is a cycling .,My hobby is cycling .
It is the first time I use this website .,It is the first time that I have used this website .
Passport Stamp Exempt,Passport Stamp Exemption
Take care too much drinking .,Take care after too much drinking .
The first day to snow in Tokyo,The first day of snow in Tokyo
The Way To Speak English Well Is So Long,The Road To Speaking English Well Is So Long
About write a diary,I am about to write a diary entry .
test !,Test !
The flu season !,The flu season !
One more my conflict .,One more of my conflicts .
the first day,The first day
How to wake up early morning .,How to wake up early in the morning .
Todays Review,Today 's Review
I went to Jirisan !,I went to Jirisan !
My first dirly,My first diary .
Continuing a rainy day,Another rainy day
Runaway cat was home safely .,Runaway cat got home safely .
I feel like I am locked on to these days .,I feel like I am locked on to being stalked these days .
Do you agree or disagre . A person should never make an important decision alone .,Do you agree or disagree ? A person should never make an important decision alone .
Soccer match with Argentina,Soccer match againts Argentina
I Caugh a Cold .,I Caught a Cold .
my first writing,My first writing
Yesterday was lucky day !,Yesterday was a lucky day !
How should I do if I meet a Mrs right ?,What should I do in order to meet Mrs right ?
Learn another language Korean .,I 'm learning another language - Korean .
My plan in spring,My plan for the spring
today raining,Today it is raining
I went to a supermarket,I went to the supermarket
How good system the Lang - 8 is !,What a great site Lang - 8 is !
I have been to English language school .,I have been to an english language school .
Thing I am addicted to,What I am addicted to
The rainy season was over,The rainy season is over
McDonald was redecorated .,McDonalds was redecorated .
My favorite Rakugo artist,My Favorite Rakugo Artist
Beginning !,Beginning !
This is about my strength and weakness . I want you to correct wrong parts .,This is about my strength and weakness . I want you to correct the wrong parts .
The process of the English words remember .,The process of remembering English words .
Chinese Herb Medicine,Chinese Herbal Medicine
college entrance examnation,college entrance examination
I use lang - 9 first times,I 'm using lang - 8 for the first time
It is first day today !,It is my first day today !
Light polution,Light Pollution
As red as the face look like monkey buns,My face was red like a monkey 's ( baboon 's ) buns
About TOIEC,About TOEIC
Japanese culture at sports,Japanese culture and sports
Does anyone like Bernard Cornwell ?,Do you like Bernard Cornwell ?
Los Angels Zoo,Los Angeles Zoo
My feeling .,My feelings .
"Songs For Palestine , crying , ca n't help it !",Songs For Palestine : I ca n't help crying .
Sanremo Festival is finished at last,The Sanremo Festival is finished at last
I got a homework,I have homework
The Game and English Cnversation Programs,The Game and English Conversation Programs
"Hello , SAN DIEGO","Hello , SAN DIEGO !"
Ielt examination in Septembe,Ielt examination in September
I 'm scare of showing up the deer when I drive .,I 'm scared of deer showing up when I drive .
Diary of Lang - 8,Diary entry on Lang - 8
it 's rainy day,It 's a rainy day
Once happy Beijing travel !,One happy Beijing vacation !
the Weekend Schedule,The Weekend Schedule
I Lost My Mind,I 've Lost My Mind
Today is another day ( help me with english ),Today is another day ( help me with english )
My dream,My Dream
How to read number .,How to read number .
Hello ~ Today is a bittersweet .,Hello ~ Today was bittersweet .
The pizza and coca cola : D,Pizza and Coca Cola : D
If just I could listen to English better,If only if I could listen to English better
Getting trouble before going home,Getting into trouble before going home .
How To Learn Slung And Idiom,How To Learn Slang And Idioms
Recentry occurrence,Recent occurrence
One restaurant in Japan killed four people by the food poisoning,One restaurant in Japan killed four deaths by food poisoning .
About my self,About myself
do u know free radio listening site ?,Doyou know free radio listening site ?
He remind me,He reminded me
Difference of Culture about Customer Satisfaction,Difference in Culture about Customer Satisfaction
I have watch TV about high - school volleyball .,I have to watch high school volleyball on TV .
The fact of the additive we take into our bodies unconsciously and everyday .,An additive we take into our bodies unconsciously and every day .
I felt very strange .,I felt very strange .
It 's start ! !,It 's the start ! !
At cafe,At the cafe
e - smoking,E - smoking
My Friend Are Going To Leave Tomorrow,My Friend Is Going To Leave Tomorrow
a second lesson,The second lesson
e - cigarette,what 's e - cigarette ?
A presentation of ocarina performance,An ocarina performance
parents ' home,My parents ' home
I will go Bhutan .,I 'm going Bhutan .
Recent my town,Recently in my town
Climb the Mt . Fuji,Climbed Mt . Fuji
I used a lot of money today .,I spent a lot of money today .
oh my got ! !,Oh my God ! !
ow my arm ! ! > ~ <,Ow my arm ! ! > ~ <
Meeting Celeb,Meeting Celebs
Gold bless the people of Haiti ( 5 ),God bless the people of Haiti ( 5 )
I caught cold,I caught a cold
For the first time Diary,For The First Time Diary
why nobody . . .,Why does nobody . . .
English lesson,English Lessons
I 'm studying English now .,I 'm Studying English Now
Is that so easy to break into somebody 's house in the USA ?,Is it that easy to break into somebody 's house in the USA ?
Winnie the poohy - My review,Winnie the Pooh - My review
please check it to me,Please check it for me
I want to go my home .,I want to go home .
cloudy day . . .,Cloudy Day . . .
my help for university student .,my help for university students .
My classmates from elemantaly school,My classmates from elementary school
Open Univesity,Open University
I am going to go somewhere .,I am going to go somewhere .
A New Busy Monday,Another Busy Monday
My Fingers Killing Me,My Fingers Are Killing Me
Typhoon is coming soon !,A / The Typhoon Is Coming Soon !
about the fun museum,About the Fun Museum
I love Minecraft,I love Minecraft
unlucky life,Unlucky life
Paris Jackson on his father 's memorial service,Paris Jackson at her father 's memorial service
Favorite Architecture,My favorite Architecture
Copernican revolution and brake fxxkin ' common sense,Copernican revolution and breaking f * * kin ' common sense
American are so friendly .,Americans are so friendly .
Tomato sause,Tomato sauce
I love a girl,I 'm inlove with this girl .
First writing,First time writing
nice to meet you ! !,Nice to meet you ! !
Update the Latest Information on the Net,Update : The Latest Information on the Net
I do n't like test : (,I do n't like tests : (
Kindle,The Kindle
"Now , I watch the final much of the asia cup .","Now , I 'm watching the final match of the asia cup ."
Free Walking Tour to EDO Castle,Free Walking Tour of the EDO Castle
Is it possible to think in English at the first thought ?,Is it possible to think in English from the beginning ?
She Leaned Against To Me While Sleeping,She Leaned Against Me While Sleeping
"Hi , I wanna meke foreigner friend","Hi , I wanna make some foreigner friends"
ashamed ! !,Embarrassed !
Live this night,Live Tonight
what happened to my life,What happened to my life ?
Carrier change,Career change
Listening skill,Listening skills
I was bored,I was bored
Please check myself - introduce,Please check my self - introduction .
First Dialy,First DialyDaily
Short trip to Amanohashidate,Short Trip to Amanohashidate
Hello ! I began Lang - 8 from today ! !,Hello ! I began Lang - 8 today ! !
Which do you think more cool ?,Which do you think cooler ?
I wached 90210,I watched 90210
I 'd like to intermediate real estate between people a lot .,I 'd like to mediate real estate between people a lot .
one days happening,one day happening
What sall I glow ?,What shall I grow ?
It was rain in Tokyo yesterday,It was raining in Tokyo yesterday
my favorite italian football team is Inter .,My favorite italian football team is Inter .
Advice me to love learning Enlish again !,Help me to love learning English again !
