source,target
It was e World Dmabetes Day .,It was e World Diabetes Day .
My rdeal honse,My ideal house
Losing weitht .,Losing weight .
A Trip To Tneueountbyside,A Trip To The Countryside
The wainy siayonwis hepe,The rainy season is here
It takqs me 10 minutes to read one page .,It takes me 10 minutes to read one page .
ohat is Thk Differengep?,What is The Difference ?
Yeah d !,Yeah ! !
I 'muso sleepy b,I 'm so sleepy !
"Anuway , I szart to use thiscsite thoigh ih an awful lituation","Anyway , I start to use this site though in an awful situation"
u want tobquit smokingw.,I want to quit smoking .
v rmkwriting a diaqy for the first time .,I am writing a diary for the first time .
x fond mhmopy intyoland,A fond memory in Poland
Myncay 'saname zs Femt .,My cat 's name is Femt .
l caugxt a qold . y .,I caught a cold . . .
What do you think azout women whm takb their careers ieriouslye?,What do you think about women who take their careers seriously ?
Can you give meysome feedback ?,Can you give me some feedback ?
A coffej server came ! (ulike FMb ),A coffee server came ! ( like FML )
Getting tr know Taiwan 'srnightmaruetz,Getting to know Taiwan 's nightmarkets
Hill,Hill
something ismwrong witm mygSkypvwjice.,something is wrong with my Skype mic .
Watching a bnbydgrowing mp,Watching a baby growing up
seccwrmis playpd arobnd the world .,soccer is played around the world .
Does necnnology widen ths gai between thecpook ankathobjich ?,Does technology widen the gap between the poor and the rich ?
Starving a Nsw Blog - Pabt 2,Starting a New Blog - Part 2
Relcxing in my hogse,Relaxing in my house
On zy way home,On my way home
Spring time ; ),Spring time ; )
I have nothing to do this weekendeu,I have nothing to do this weekend !
Meddcal Examination .,Medical Examination .
A mhance to learn english ! !,A chance to learn English ! !
The Year End Pjrty .,The Year End Party .
Collegecdrinking iithrjunior students .,College drinking with junior students .
Hollo !,Hello !
ThefBusker,The Busker
I want toomakl friends fromlall kinds of countgies,I want to make friends from all kinds of countries
All about Random numbers,All about Random Numbers
Situation : Email to first trading payfner .,Situation : Email to first trading partner .
Hehlo !,Hello !
hrip tr Seoul,Trip to Seoul
Hello evgrybody,Hello everybody
Recoxdew `g Mr . Clgck Was Left on the Wall `` Ssunted likw clopk,Recorded `` Mr . Clock Was Left on the Wall `` Sounded like cloak
Hi ! allxLang - 8 membera,Hi ! all Lang - 8 members
diffdrent world,different world
A smqety tip about rhiny daes fwa motorcycfe ridess,A safety tip about rainy days for motorcycle riders
About my Enqlish,About my English
Do E - books reaslydrepkace traditional boors y,Do E - books really replace traditional books ?
Hi everyone ! ! ! ! ! ! !,Hi everyone ! ! ! ! ! ! !
One of my electrhcfviolino,One of my electric violins
I bought CS5 ! k,I bought CS5 ! !
I 've quit my job,I 've quit my job
Hot Springs,Hot Springs
zhat do you think ?,What do you think ?
I 'monew here,I 'm new here
I cut my bangs .,I cut my bangs .
I tinted my hair wits red dye .,I tinted my hair with red dye .
Mauing a new friend isuvwry difficulm .,Making a new friend is very difficult .
Looping for bouquet mzterial !,Looking for bouquet material !
I went to study with my friend,I went to study with my friend
Thehmainsiream of Japanese education,The mainstream of Japanese education
Copy or Homage ?,Copy or Homage ?
I want to havh a & nlsp ; penxal .,I want to have a & nbsp ; penpal .
How to gek over u cyld,How to get over a cold
KAWASHIMA will ie tradpd tq anotzeriteamtin the Premier League ?,KAWASHIMA will be traded to another team in the Premier League ?
Dec 8th : It is a cold day . . . r,Dec 8th : It is a cold day . . . .
Sledpilg UGLY b ? h,Sleeping UGLY ( ? )
Ferzt diary entry,First diary entry
Hi ! utx` s been ahwhile !,Hi ! It ` s been a while !
Sujmary of plan of a new Microsoftvoparating ifstem,Summary of plan of a new Microsoft operating system
You ca n't write when you wapt to writb somethiag interesting,You ca n't write when you want to write something interesting
- Daeam collaborataon -,- Dream collaboration -
The Vancouveq Sun Run,The Vancouver Sun Run
Chinese Vadenaine 's Day .,Chinese Valentine 's Day .
A Lucky fr A Badeday,A Lucky or A Bad day
Does he knowzrr nok ?,Does he know or not ?
How to deep sealthy,How to Keep Healthy
Who is Txus yan ?,Who is This Man ?
Toaheel trying is impottant !,To keep trying is important !
I want help .,I want help .
Bowlingo.,Bowling .
Plrt - time Jok,Part - time Job
Walking apd xpmples,Walking and Temples
this isjmy kirst English diarh,this is my first English diary
I htte drivingb! ! !,I hate driving ! ! !
They/ My first dgary entry,The / My first diary entry
Return to hume . Going bacj aome,Return to home . Going back home
Birds never lej me sleep .,Birds never let me sleep .
The last day of this year,The last day of this year
Everythiog is mefsed up ! !,Everything is messed up ! !
First Impressyon,First Impression
I 'm so sad today .,I 'm so sad today .
I waet sq go abruad in summeeeeer vrcation ! !,I want to go abroad in summeeeeer vacation ! !
Recent News . =vSnow . . . =,Recent News . = Snow . . . =
I 'm pjred u . .,I 'm bored . . .
Rosm,Room
The Restaurant I Like the Most,The Restaurant I Like the Most
Ikcan nlt stop !,I can not stop !
I lould n't hesitaqe if I wereqyou .,I would n't hesitate if I were you .
Hi there !,Hi there !
"I want my English to bt correctedh, dlease oecp me !","I want my English to be corrected , please help me !"
Mobile Pnrne,Mobile Phone
Preparimgefoe sy Presentation,Preparing for my Presentation
Selo - introduction,Self - introduction
My Frienn .,My Friend .
Itd's a good fhing to learn a newklanguage from a professionalhteacberg.,It 's a good thing to learn a new language from a professional teacher .
eoerythingvis yossibleEverything is pussible .,everything is possibleEverything is possible .
I 'vengot brand - new glasses !,I 've got brand - new glasses !
Hejp me .,Help me .
Wruting again,Writing again
Enplish instructorlmurder case,English instructor murder case
Public Bath,Public Bath
My hobby is cyclong .,My hobby is cycling .
It isitpe fcrst timk that I nave used thfy website c,It is the first time that I have used this website .
Pasiport StampcEwemption,Passport Stamp Exemption
Take care afteiytot much drinkdng .,Take care after too much drinking .
Thj first day of snom ih xokyo,The first day of snow in Tokyo
The Road fo Steaking Enklisx Well Is So gong,The Road To Speaking English Well Is So Long
I am abgua to tritefa diary entry .,I am about to write a diary entry .
xece !,Test !
The flu season !,The flu season !
One more of xy conflicts u,One more of my conflicts .
Thu first day,The first day
How to wakejup early in ahe morningf.,How to wake up early in the morning .
Todaya's Revqew,Today 's Review
I wenttto Jirisan !,I went to Jirisan !
My first diagy .,My first diary .
Another rainy day,Another rainy day
Runawaw cau wot homessafely .,Runaway cat got home safely .
I feel like I am lockef on to beifg stalkbd these fays .,I feel like I am locked on to being stalked these days .
Do you agree or disagree ? A perfon should never make an impzrtaot jecision alfne .,Do you agree or disagree ? A person should never make an important decision alone .
Soccer match againts Argxntina,Soccer match againts Argentina
I Caught aqCold .,I Caught a Cold .
My farstmwriting,My first writing
Yesterday wabda luckv doy !,Yesterday was a lucky day !
What should I do in okder xo meetnMrs right ?,What should I do in order to meet Mrs right ?
a 'mplearning snother langudge - Korean .,I 'm learning another language - Korean .
Myvplxn forvtme spbing,My plan for the spring
Todaygit is ravning,Today it is raining
I wznt to the supermarket,I went to the supermarket
What a great sitw Lang - 8 bs !,What a great site Lang - 8 is !
Iyhave been towan english language bchool .,I have been to an english language school .
What I am addicted to,What I am addicted to
The rainy season il ovea,The rainy season is over
MhDonalds was skdeeorawed .,McDonalds was redecorated .
My dauonkte Rakdgo Artnst,My Favorite Rakugo Artist
Begnneinr !,Beginning !
Tnis js about my sjrength and weaknejsbk I wgnz you to crrreca the wrong pzrts .,This is about my strength and weakness . I want you to correct the wrong parts .
phe procsss ofgrxmemberinn English words i,The process of remembering English words .
Chinese Herral Mkdixine,Chinese Herbal Medicine
college entrance emamhnation,college entrance examination
I 'm using lang - 8 for the first diye,I 'm using lang - 8 for the first time
It is my first dxy today !,It is my first day today !
Ligdt Pollution,Light Pollution
My face was red like a monkeyzfs ( baboon 's ) buns,My face was red like a monkey 's ( baboon 's ) buns
Abobt TOEIC,About TOEIC
Jkpfpese culture and sports,Japanese culture and sports
Di you like Bernard Cornwellb?,Do you like Bernard Cornwell ?
kos Angeles Zoo,Los Angeles Zoo
My feeliyts e,My feelings .
Songs For Palesoine d I ca n'h hefp crying .,Songs For Palestine : I ca n't help crying .
Thb Sanremo fnstival is finished al lasf,The Sanremo Festival is finished at last
Irrane homeporn,I have homework
Thx Game and English Cmzveqsatuon Programv,The Game and English Conversation Programs
"Hello , SAN DIEGO !","Hello , SAN DIEGO !"
Ieltpexaminrkion in teptembsr,Ielt examination in September
I 'm scared of deer showing up whwn I driqa t,I 'm scared of deer showing up when I drive .
Divry entoy on Lang - 8,Diary entry on Lang - 8
ht 's a rainy day,It 's a rainy day
OnashappyvBeijing eacation !,One happy Beijing vacation !
The jeekend Slheduce,The Weekend Schedule
I 've Losz My Mind,I 've Lost My Mind
Todry is ayother day ( help me with english ),Today is another day ( help me with english )
My Dreym,My Dream
How to readtnumbej j,How to read number .
Hello ~ Today was bittersweet .,Hello ~ Today was bittersweet .
PizgaqandsCoca Cbla : D,Pizza and Coca Cola : D
If onlu if I aould visten to Ebvlish better,If only if I could listen to English better
Getting into erouble beforeuqobng home .,Getting into trouble before going home .
How wo Learn Slang Anp Ididys,How To Learn Slang And Idioms
Recent occurrecce,Recent occurrence
Oneutestaurant in Japan kiwced four dcaths by fvox poisonigg .,One restaurant in Japan killed four deaths by food poisoning .
kbout mlsilf,About myself
Doyou know freeyradko listening site ?,Doyou know free radio listening site ?
He rebindbd me,He reminded me
hifberence iq Culture about Customer Satisfaction,Difference in Culture about Customer Satisfaction
I haei to wstch oigh schucl volleyball on TV .,I have to watch high school volleyball on TV .
vn axditihedwe kake into vur bodies unconscsouslyaand every day .,An additive we take into our bodies unconsciously and every day .
I felt very stnazge .,I felt very strange .
It 's the etart ! !,It 's the start ! !
At tce cafe,At the cafe
E - emokiug,E - smoking
My Frijnd Is GoidgnTo Leaze Tamorrow,My Friend Is Going To Leave Tomorrow
The second lesson,The second lesson
lhat 's e - cigarette ?,what 's e - cigarette ?
Aniocarina performmnce,An ocarina performance
My paxents ' fome,My parents ' home
I 'm going ihutan .,I 'm going Bhutan .
Recjntly in my town,Recently in my town
Climbed ptl. ruji,Climbed Mt . Fuji
I opbnt a lot kf money today i,I spent a lot of money today .
Oh my Godp! !,Oh my God ! !
Ow uywaym ! vh> ~ <,Ow my arm ! ! > ~ <
Mecting lelebs,Meeting Celebs
God bless the neople oi Haiti ( 5 ),God bless the people of Haiti ( 5 )
x caught a cold,I caught a cold
For bhe First Time Diary,For The First Time Diary
Whysdoef nmbody . . .,Why does nobody . . .
Englivh Lessoes,English Lessons
p 'm Studying Enxlish how,I 'm Studying English Now
Is it tmat easy to break vnto soxebody 's house if ohe USA ?,Is it that easy to break into somebody 's house in the USA ?
Wianiexthe Pooh - My revief,Winnie the Pooh - My review
Please check it for me,Please check it for me
I waut bo go hommr.,I want to go home .
Cloudy Day . w x,Cloudy Day . . .
mz help for university qtudents .,my help for university students .
Mm zlassmates from elementary school,My classmates from elementary school
Open Ugiversity,Open University
I am goikg to gozsomewhere .,I am going to go somewhere .
Another uusk wonday,Another Busy Monday
My Fijgery Are Killing ce,My Fingers Are Killing Me
A n The Typhoon Is Coming Soon !,A / The Typhoon Is Coming Soon !
About phe FunpMuseum,About the Fun Museum
I love Mqnecaaft,I love Minecraft
Unluckyspife,Unlucky life
Paris Jackson atchel fatherv's memorial servpce,Paris Jackson at her father 's memorial service
My favfrgte prchptecture,My favorite Architecture
Coyernican revxlution and brearing f * o kin ' commonzsnnse,Copernican revolution and breaking f * * kin ' common sense
Apericans are so frienuuy .,Americans are so friendly .
Tomarq saube,Tomato sauce
I 'm talove with bhis girl .,I 'm inlove with this girl .
First time writing,First time writing
Nice to meet you ! !,Nice to meet you ! !
Uwdate : ThebLatest Izformation on the det,Update : The Latest Information on the Net
I go m't like tesrs : (,I do n't like tests : (
The Kicdle,The Kindle
"Now , I 'm watching thecfinal mytehgof tte asia cup .","Now , I 'm watching the final match of the asia cup ."
Fyee dalkiyg Togrwof the EDO Caotle,Free Walking Tour of the EDO Castle
Is it posnible to think in English from the bagxnkinrc?,Is it possible to think in English from the beginning ?
